tag_pk 	tag_title 	variable_phv 	variable_full_accession 	dataset_full_accession 	study_full_accession 	study_name 	study_phs 	study_version 	created 	modified 
1	LDL in blood	1584	phv00001584.v1.p10	pht000013.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 19:18:48+00:00	2018-03-02 19:18:48+00:00 
1	LDL in blood	1591	phv00001591.v1.p10	pht000013.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 19:19:03+00:00	2018-03-02 19:19:03+00:00 
1	LDL in blood	7539	phv00007539.v5.p10	pht000030.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 19:56:03+00:00	2018-03-02 19:56:03+00:00 
1	LDL in blood	7975	phv00007975.v5.p10	pht000031.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 19:56:38+00:00	2018-03-02 19:56:38+00:00 
1	LDL in blood	8733	phv00008733.v5.p10	pht000032.v6.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 19:58:37+00:00	2018-03-02 19:58:37+00:00 
1	LDL in blood	277026	phv00277026.v1.p10	pht006026.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 20:01:23+00:00	2018-03-02 20:01:23+00:00 
1	LDL in blood	277027	phv00277027.v1.p10	pht006026.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 20:01:32+00:00	2018-03-02 20:01:32+00:00 
1	LDL in blood	277104	phv00277104.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 20:01:42+00:00	2018-03-02 20:01:42+00:00 
1	LDL in blood	277105	phv00277105.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 20:01:52+00:00	2018-03-02 20:01:52+00:00 
1	LDL in blood	277106	phv00277106.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 20:02:02+00:00	2018-03-02 20:02:02+00:00 
1	LDL in blood	277107	phv00277107.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 20:02:12+00:00	2018-03-02 20:02:12+00:00 
1	LDL in blood	277108	phv00277108.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 20:02:22+00:00	2018-03-02 20:02:22+00:00 
1	LDL in blood	277109	phv00277109.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 20:02:33+00:00	2018-03-02 20:02:33+00:00 
1	LDL in blood	277110	phv00277110.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 20:02:43+00:00	2018-03-02 20:02:43+00:00 
1	LDL in blood	277111	phv00277111.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 20:02:53+00:00	2018-03-02 20:02:53+00:00 
1	LDL in blood	277112	phv00277112.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 20:03:04+00:00	2018-03-02 20:03:04+00:00 
1	LDL in blood	253241	phv00253241.v1.p1	pht004715.v1.p1	phs000810.v1.p1	Hispanic Community Health Study /Study of Latinos (HCHS/SOL)	810	1	2018-03-14 22:02:22+00:00	2018-03-14 22:02:22+00:00 
1	LDL in blood	204641	phv00204641.v1.p1	pht004062.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 13:00:48+00:00	2018-03-15 13:00:48+00:00 
1	LDL in blood	204650	phv00204650.v1.p1	pht004062.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 13:01:21+00:00	2018-03-15 13:01:21+00:00 
1	LDL in blood	204768	phv00204768.v1.p1	pht004063.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 13:01:53+00:00	2018-03-15 13:01:53+00:00 
1	LDL in blood	204868	phv00204868.v1.p1	pht004064.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 13:02:33+00:00	2018-03-15 13:02:33+00:00 
1	LDL in blood	204869	phv00204869.v1.p1	pht004064.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 13:03:06+00:00	2018-03-15 13:03:06+00:00 
1	LDL in blood	204960	phv00204960.v1.p1	pht004065.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 13:03:31+00:00	2018-03-15 13:03:31+00:00 
1	LDL in blood	204967	phv00204967.v1.p1	pht004065.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 13:03:48+00:00	2018-03-15 13:03:48+00:00 
1	LDL in blood	113703	phv00113703.v2.p2	pht001588.v2.p2	phs000285.v3.p2	Coronary Artery Risk Development in Young Adults (CARDIA) Study - Cohort	285	3	2018-04-17 14:46:33+00:00	2018-04-17 14:46:33+00:00 
1	LDL in blood	115101	phv00115101.v2.p2	pht001644.v2.p2	phs000285.v3.p2	Coronary Artery Risk Development in Young Adults (CARDIA) Study - Cohort	285	3	2018-04-17 14:46:33+00:00	2018-04-17 14:46:33+00:00 
1	LDL in blood	116372	phv00116372.v2.p2	pht001695.v2.p2	phs000285.v3.p2	Coronary Artery Risk Development in Young Adults (CARDIA) Study - Cohort	285	3	2018-04-17 14:46:33+00:00	2018-04-17 14:46:33+00:00 
1	LDL in blood	117573	phv00117573.v2.p2	pht001742.v2.p2	phs000285.v3.p2	Coronary Artery Risk Development in Young Adults (CARDIA) Study - Cohort	285	3	2018-04-17 14:46:33+00:00	2018-04-17 14:46:33+00:00 
1	LDL in blood	119616	phv00119616.v2.p2	pht001802.v2.p2	phs000285.v3.p2	Coronary Artery Risk Development in Young Adults (CARDIA) Study - Cohort	285	3	2018-04-17 14:46:33+00:00	2018-04-17 14:46:33+00:00 
1	LDL in blood	120671	phv00120671.v2.p2	pht001848.v2.p2	phs000285.v3.p2	Coronary Artery Risk Development in Young Adults (CARDIA) Study - Cohort	285	3	2018-04-17 14:46:33+00:00	2018-04-17 14:46:33+00:00 
1	LDL in blood	207664	phv00207664.v1.p1	pht004123.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-04-25 19:49:11+00:00	2018-04-25 19:49:11+00:00 
1	LDL in blood	207680	phv00207680.v1.p1	pht004124.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-04-25 19:50:28+00:00	2018-04-25 19:50:28+00:00 
1	LDL in blood	160493	phv00160493.v1.p3	pht001116.v10.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2018-04-26 01:26:43+00:00	2018-04-26 01:26:43+00:00 
1	LDL in blood	85919	phv00085919.v2.p3	pht001118.v8.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2018-04-26 01:26:52+00:00	2018-04-26 01:26:52+00:00 
1	LDL in blood	86401	phv00086401.v2.p3	pht001119.v8.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2018-04-26 01:27:18+00:00	2018-04-26 01:27:18+00:00 
1	LDL in blood	86832	phv00086832.v2.p3	pht001120.v10.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2018-04-26 01:27:25+00:00	2018-04-26 01:27:25+00:00 
1	LDL in blood	175238	phv00175238.v1.p3	pht003086.v3.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2018-04-26 01:27:38+00:00	2018-04-26 01:27:38+00:00 
1	LDL in blood	175866	phv00175866.v1.p3	pht003087.v1.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2018-04-26 01:27:44+00:00	2018-04-26 01:27:44+00:00 
1	LDL in blood	175885	phv00175885.v1.p3	pht003087.v1.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2018-04-26 01:27:49+00:00	2018-04-26 01:27:49+00:00 
1	LDL in blood	175950	phv00175950.v1.p3	pht003087.v1.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2018-04-26 01:27:56+00:00	2018-04-26 01:27:56+00:00 
1	LDL in blood	176661	phv00176661.v1.p3	pht003091.v3.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2018-04-26 01:28:02+00:00	2018-04-26 01:28:02+00:00 
1	LDL in blood	100043	phv00100043.v1.p1	pht001451.v1.p1	phs000287.v6.p1	Cardiovascular Health Study (CHS)	287	6	2018-05-03 17:52:06+00:00	2018-05-03 17:52:06+00:00 
1	LDL in blood	100282	phv00100282.v1.p1	pht001451.v1.p1	phs000287.v6.p1	Cardiovascular Health Study (CHS)	287	6	2018-05-03 17:57:38+00:00	2018-05-03 17:57:38+00:00 
1	LDL in blood	106415	phv00106415.v1.p1	pht001490.v1.p1	phs000287.v6.p1	Cardiovascular Health Study (CHS)	287	6	2018-05-03 17:58:20+00:00	2018-05-03 17:58:20+00:00 
1	LDL in blood	106416	phv00106416.v1.p1	pht001490.v1.p1	phs000287.v6.p1	Cardiovascular Health Study (CHS)	287	6	2018-05-03 17:58:35+00:00	2018-05-03 17:58:35+00:00 
1	LDL in blood	106992	phv00106992.v1.p1	pht001491.v2.p1	phs000287.v6.p1	Cardiovascular Health Study (CHS)	287	6	2018-05-03 17:58:52+00:00	2018-05-03 17:58:52+00:00 
1	LDL in blood	107344	phv00107344.v1.p1	pht001491.v2.p1	phs000287.v6.p1	Cardiovascular Health Study (CHS)	287	6	2018-05-03 17:59:10+00:00	2018-05-03 17:59:10+00:00 
1	LDL in blood	77391	phv00077391.v6.p3	pht000987.v6.p3	phs000200.v11.p3	Women's Health Initiative (WHI)	200	11	2018-05-15 16:04:09+00:00	2018-05-15 16:04:09+00:00 
1	LDL in blood	123972	phv00123972.v1.p1	pht001902.v1.p1	phs000284.v1.p1	Cleveland Family Study	284	1	2018-08-14 20:43:12+00:00	2018-08-14 20:43:12+00:00 
1	LDL in blood	282935	phv00282935.v1.p3	pht003419.v3.p3	phs000200.v11.p3	Women's Health Initiative (WHI)	200	11	2018-08-23 18:03:40+00:00	2018-08-23 18:03:40+00:00 
1	LDL in blood	282938	phv00282938.v1.p3	pht003419.v3.p3	phs000200.v11.p3	Women's Health Initiative (WHI)	200	11	2018-08-23 18:03:40+00:00	2018-08-23 18:03:40+00:00 
1	LDL in blood	258741	phv00258741.v1.p1	pht005253.v1.p1	phs000914.v1.p1	GWAS of Adiposity in Samoans	914	1	2018-09-06 12:53:36+00:00	2018-09-06 12:53:36+00:00 
2	HDL in blood	82952	phv00082952.v1.p3	pht001111.v4.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2017-12-20 22:06:09+00:00	2017-12-20 22:06:09+00:00 
2	HDL in blood	84972	phv00084972.v2.p3	pht001116.v10.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2017-12-20 22:06:09+00:00	2017-12-20 22:06:09+00:00 
2	HDL in blood	87099	phv00087099.v1.p3	pht001121.v3.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2017-12-20 22:06:09+00:00	2017-12-20 22:06:09+00:00 
2	HDL in blood	126041	phv00126041.v1.p1	pht001949.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2017-12-22 18:18:36+00:00	2017-12-22 18:18:36+00:00 
2	HDL in blood	126046	phv00126046.v1.p1	pht001949.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2017-12-22 18:18:36+00:00	2017-12-22 18:18:36+00:00 
2	HDL in blood	125930	phv00125930.v1.p1	pht001945.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2017-12-22 18:18:36+00:00	2017-12-22 18:18:36+00:00 
2	HDL in blood	253018	phv00253018.v1.p1	pht005002.v1.p1	phs000956.v2.p1	Genetics of Cardiometabolic Health in the Amish	956	2	2017-12-22 18:18:36+00:00	2017-12-22 18:18:36+00:00 
2	HDL in blood	277575	phv00277575.v1.p1	pht006041.v1.p1	phs001238.v1.p1	Genetic Epidemiology Network of Arteriopathy (GENOA)	1238	1	2017-12-22 18:18:36+00:00	2017-12-22 18:18:36+00:00 
2	HDL in blood	307856	phv00307856.v1.p1	pht006655.v1.p1	phs001238.v1.p1	Genetic Epidemiology Network of Arteriopathy (GENOA)	1238	1	2017-12-22 18:18:36+00:00	2017-12-22 18:18:36+00:00 
2	HDL in blood	204761	phv00204761.v1.p1	pht004063.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2017-12-22 22:49:33+00:00	2017-12-22 22:49:33+00:00 
2	HDL in blood	100426	phv00100426.v1.p1	pht001452.v1.p1	phs000287.v6.p1	Cardiovascular Health Study (CHS)	287	6	2017-12-22 22:56:56+00:00	2017-12-22 22:56:56+00:00 
2	HDL in blood	123968	phv00123968.v1.p1	pht001902.v1.p1	phs000284.v1.p1	Cleveland Family Study	284	1	2017-12-22 23:02:07+00:00	2017-12-22 23:02:07+00:00 
2	HDL in blood	258743	phv00258743.v1.p1	pht005253.v1.p1	phs000914.v1.p1	GWAS of Adiposity in Samoans	914	1	2017-12-22 23:04:09+00:00	2017-12-22 23:04:09+00:00 
2	HDL in blood	193862	phv00193862.v3.p3	pht003419.v3.p3	phs000200.v11.p3	Women's Health Initiative (WHI)	200	11	2018-01-12 23:42:38+00:00	2018-01-12 23:42:38+00:00 
2	HDL in blood	282937	phv00282937.v1.p3	pht003419.v3.p3	phs000200.v11.p3	Women's Health Initiative (WHI)	200	11	2018-01-12 23:44:18+00:00	2018-01-12 23:44:18+00:00 
2	HDL in blood	1207	phv00001207.v1.p10	pht000011.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:14:47+00:00	2018-02-28 12:14:47+00:00 
2	HDL in blood	1382	phv00001382.v1.p10	pht000012.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:15:21+00:00	2018-02-28 12:15:21+00:00 
2	HDL in blood	1399	phv00001399.v1.p10	pht000012.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:15:49+00:00	2018-02-28 12:15:49+00:00 
2	HDL in blood	1582	phv00001582.v1.p10	pht000013.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:16:53+00:00	2018-02-28 12:16:53+00:00 
2	HDL in blood	1589	phv00001589.v1.p10	pht000013.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:17:14+00:00	2018-02-28 12:17:14+00:00 
2	HDL in blood	2656	phv00002656.v1.p10	pht000017.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:17:48+00:00	2018-02-28 12:17:48+00:00 
2	HDL in blood	4519	phv00004519.v1.p10	pht000022.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:18:35+00:00	2018-02-28 12:18:35+00:00 
2	HDL in blood	5552	phv00005552.v1.p10	pht000024.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:19:05+00:00	2018-02-28 12:19:05+00:00 
2	HDL in blood	6028	phv00006028.v1.p10	pht000025.v4.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:19:38+00:00	2018-02-28 12:19:38+00:00 
2	HDL in blood	6320	phv00006320.v1.p10	pht000026.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:20:13+00:00	2018-02-28 12:20:13+00:00 
2	HDL in blood	6660	phv00006660.v1.p10	pht000027.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:20:43+00:00	2018-02-28 12:20:43+00:00 
2	HDL in blood	6667	phv00006667.v1.p10	pht000028.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:21:09+00:00	2018-02-28 12:21:09+00:00 
2	HDL in blood	7528	phv00007528.v1.p10	pht000029.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:21:43+00:00	2018-02-28 12:21:43+00:00 
2	HDL in blood	7972	phv00007972.v5.p10	pht000031.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:22:23+00:00	2018-02-28 12:22:23+00:00 
2	HDL in blood	7973	phv00007973.v5.p10	pht000031.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:22:47+00:00	2018-02-28 12:22:47+00:00 
2	HDL in blood	8728	phv00008728.v5.p10	pht000032.v6.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:24:15+00:00	2018-02-28 12:24:15+00:00 
2	HDL in blood	9122	phv00009122.v5.p10	pht000033.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:25:05+00:00	2018-02-28 12:25:05+00:00 
2	HDL in blood	9574	phv00009574.v5.p10	pht000034.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:25:52+00:00	2018-02-28 12:25:52+00:00 
2	HDL in blood	10134	phv00010134.v5.p10	pht000035.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:26:32+00:00	2018-02-28 12:26:32+00:00 
2	HDL in blood	10141	phv00010141.v5.p10	pht000036.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:27:32+00:00	2018-02-28 12:27:32+00:00 
2	HDL in blood	21392	phv00021392.v4.p10	pht000074.v10.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:27:56+00:00	2018-02-28 12:27:56+00:00 
2	HDL in blood	55263	phv00055263.v5.p10	pht000395.v8.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:31:01+00:00	2018-02-28 12:31:01+00:00 
2	HDL in blood	70732	phv00070732.v1.p10	pht000692.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:31:47+00:00	2018-02-28 12:31:47+00:00 
2	HDL in blood	71891	phv00071891.v4.p10	pht000742.v5.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:32:11+00:00	2018-02-28 12:32:11+00:00 
2	HDL in blood	172176	phv00172176.v2.p10	pht002889.v2.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:33:14+00:00	2018-02-28 12:33:14+00:00 
2	HDL in blood	227059	phv00227059.v1.p10	pht004802.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:33:48+00:00	2018-02-28 12:33:48+00:00 
2	HDL in blood	255345	phv00255345.v1.p10	pht005143.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:34:20+00:00	2018-02-28 12:34:20+00:00 
2	HDL in blood	275405	phv00275405.v1.p10	pht006010.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:34:55+00:00	2018-02-28 12:34:55+00:00 
2	HDL in blood	275414	phv00275414.v1.p10	pht006011.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:35:12+00:00	2018-02-28 12:35:12+00:00 
2	HDL in blood	277040	phv00277040.v1.p10	pht006026.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:35:39+00:00	2018-02-28 12:35:39+00:00 
2	HDL in blood	277041	phv00277041.v1.p10	pht006026.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:35:51+00:00	2018-02-28 12:35:51+00:00 
2	HDL in blood	277162	phv00277162.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:36:43+00:00	2018-02-28 12:36:43+00:00 
2	HDL in blood	277163	phv00277163.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:36:51+00:00	2018-02-28 12:36:51+00:00 
2	HDL in blood	277164	phv00277164.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:36:59+00:00	2018-02-28 12:36:59+00:00 
2	HDL in blood	277165	phv00277165.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:37:09+00:00	2018-02-28 12:37:09+00:00 
2	HDL in blood	277166	phv00277166.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:37:18+00:00	2018-02-28 12:37:18+00:00 
2	HDL in blood	277167	phv00277167.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:37:27+00:00	2018-02-28 12:37:27+00:00 
2	HDL in blood	277168	phv00277168.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:37:36+00:00	2018-02-28 12:37:36+00:00 
2	HDL in blood	277169	phv00277169.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:37:46+00:00	2018-02-28 12:37:46+00:00 
2	HDL in blood	277170	phv00277170.v1.p10	pht006027.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:37:56+00:00	2018-02-28 12:37:56+00:00 
2	HDL in blood	7537	phv00007537.v5.p10	pht000030.v7.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:43:49+00:00	2018-02-28 12:43:49+00:00 
2	HDL in blood	227018	phv00227018.v1.p10	pht004801.v1.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-02-28 12:47:32+00:00	2018-02-28 12:47:32+00:00 
2	HDL in blood	253239	phv00253239.v1.p1	pht004715.v1.p1	phs000810.v1.p1	Hispanic Community Health Study /Study of Latinos (HCHS/SOL)	810	1	2018-03-14 22:02:01+00:00	2018-03-14 22:02:01+00:00 
2	HDL in blood	204765	phv00204765.v1.p1	pht004063.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 13:53:44+00:00	2018-03-15 13:53:44+00:00 
2	HDL in blood	204645	phv00204645.v1.p1	pht004062.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 13:54:11+00:00	2018-03-15 13:54:11+00:00 
2	HDL in blood	204867	phv00204867.v1.p1	pht004064.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 13:55:59+00:00	2018-03-15 13:55:59+00:00 
2	HDL in blood	204966	phv00204966.v1.p1	pht004065.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 13:57:54+00:00	2018-03-15 13:57:54+00:00 
2	HDL in blood	214065	phv00214065.v1.p1	pht004228.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 17:41:34+00:00	2018-03-15 17:41:34+00:00 
2	HDL in blood	207651	phv00207651.v1.p1	pht004122.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 17:56:58+00:00	2018-03-15 17:56:58+00:00 
2	HDL in blood	207662	phv00207662.v1.p1	pht004123.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 18:00:32+00:00	2018-03-15 18:00:32+00:00 
2	HDL in blood	207677	phv00207677.v1.p1	pht004124.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2018-03-15 18:01:17+00:00	2018-03-15 18:01:17+00:00 
2	HDL in blood	113702	phv00113702.v2.p2	pht001588.v2.p2	phs000285.v3.p2	Coronary Artery Risk Development in Young Adults (CARDIA) Study - Cohort	285	3	2018-04-17 14:48:32+00:00	2018-04-17 14:48:32+00:00 
2	HDL in blood	115100	phv00115100.v2.p2	pht001644.v2.p2	phs000285.v3.p2	Coronary Artery Risk Development in Young Adults (CARDIA) Study - Cohort	285	3	2018-04-17 14:48:32+00:00	2018-04-17 14:48:32+00:00 
